"Add","Thêm"
"Add gift message for shopping cart","Thêm tin nhắn tặng quà cho giỏ hàng"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Thêm tùy chọn tặng quà"
"Add gift options for Individual Items","Thêm tùy chọn tặng quà cho mỗi sản phẩm riêng biệt"
"Add gift options for the Entire Order","Thêm tùy chọn tặng quà cho toàn bộ đơn hàng"
"Add gift options.","Thêm tùy chọn tặng quà."
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Bạn có chắc không?"
"Cancel","Bỏ qua"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Edit","Sửa"
"From","Người gửi"
"Gift Message","Tin Nhắn Tặng Quà"
"Gift Message API","Gift Message API"
"Gift Options","Tùy Chọn Tặng Quà"
"Gift Options for","Tùy Chọn Tặng Quà Cho"
"Gift Options for Individual Items","Mỗi sản phẩm thành một gói quà"
"Gift Options for the Entire Order.","Tất cả sản phẩm trong đơn hàng này thành 1 gói quà"
"Gift Options for this address.","Tùy chọn tặng quà cho địa chỉ này."
"Item %d of %d","SP %d của %d"
"Message","Tin nhắn"
"No","No"
"OK","OK"
"Save Gift Message","Save Gift Message"
"The gift message has been removed","The gift message has been removed"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","The gift message has been saved."
"To","Người nhận"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Yes"
"You can leave this box blank if you do not wish to add a gift message for the item.","Bạn có thể bỏ trống mục này nếu bạn không muốn thêm tin nhắn tặng quà cho các sản phẩm."
"You can leave this box blank if you do not wish to add a gift message for this address.","Bạn có thể bỏ trống mục này nếu bạn không muốn thêm tin nhắn tặng quà cho địa chỉ này."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Bạn có thể bỏ trống mục này nếu bạn không muốn thêm tin nhắn tặng quà cho toàn bộ đơn hàng."
"Check this checkbox if you want to add gift messages.", "Chọn ô này nếu bạn muốn thêm tin nhắn tặng quà."
"Allow Gift Message", "Cho Phép Gửi Tin Nhắn Tặng Quà"