"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) generated successfully","%s Coupon(s) generated successfully"
"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"Alphabetical","Chữ Cái"
"Alphanumeric","Chữ Và Số"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Apply"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Áp dụng quy tắc chỉ khi những điều kiện sau là đúng (bỏ qua bước này nếu muốn áp dụng cho tất cả các sản phẩm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Áp dụng quy tắc cho những sản phẩm trong giỏ hàng mà thỏa mãn các điều kiện sau (bỏ qua bước này nếu muốn áp dụng cho tất cả các sản phẩm)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to Shipping Amount","Áp Dụng Cho Số Tiền Vận Chuyển"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Mua X thì nhận được Y miễn phí (giảm giá một lượng là Y)"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Cart Attribute"
"Catalog","Catalog"
"Code Format","Định Dạng Của Mã Coupon"
"Code Length","Chiều Dài Của Mã Coupon"
"Code Prefix","Tiền Tố Của Mã Coupon"
"Code Suffix","Hậu Tố Của Mã Coupon"
"Conditions","Conditions"
"Conditions combination","Conditions combination"
"Coupon","Coupon"
"Coupon Code","Mã Coupon"
"Coupon Qty","Số Lượng Coupon"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Thông Tin Của Các Coupon"
"Created On","Created On"
"Customer Groups","Customer Groups"
"Dash Every X Characters","Dấu Gạch Ngang Với Mỗi X Ký Tự"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Tiêu Đề Mặc Định"
"Default Rule Label for All Store Views","Tiêu Đề Mặc Định Của Quy Tắc Cho Tất Cả Các Cửa Hàng"
"Delete Rule","Delete Rule"
"Description","Description"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Giảm Giá Theo Nhóm Số Lượng (Mua X)"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"FOUND","FOUND"
"Fixed amount discount","Giảm một số lượng nhất định"
"Fixed amount discount for whole cart","Giảm một số lượng nhất định cho toàn bộ giỏ hàng"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free Shipping","Miễn Phí Vận Chuyển"
"From Date","From Date"
"General Information","General Information"
"Generate","Tạo Mã Coupon"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","Nếu Để Trống Thì Mã Được Tạo Ra Sẽ Không Có Sự Phân Tách Bởi Dấu Gạch Ngang."
"If you select and save the rule you will be able to generate multiple coupon codes","Nếu bạn chọn và lưu quy tắc lại thì bạn có thể tạo ra nhiều mã coupon"
"Inactive","Không hoạt động"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Tiêu Đề Hiển Thị"
"Manage Coupons Codes","Quản Lý Các Mã Coupon"
"Manage Coupon Codes", "Quản Lý Các Mã Coupon"
"Maximum Qty Discount is Applied To","Số Lần Giảm Giá Tối Đa Có Thể Được Áp Dụng"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","NOT LOGGED IN"
"New Rule","New Rule"
"No","No"
"No Coupon","Không Dùng Coupon"
"Not valid data provided","Not valid data provided"
"Number of Uses","Number of Uses"
"Numeric","Số"
"Payment Method","Payment Method"
"Percent of product price discount","Giảm theo phần trăm giá trị của sản phẩm"
"Period","Period"
"Price in cart","Price in cart"
"Priority","Priority"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","Promotions"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","Quantity in cart"
"Row total in cart","Row total in cart"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule is not defined","Rule is not defined"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save Rule","Save Rule"
"Save and Continue Edit","Save and Continue Edit"
"Shipping Country","Shipping Country"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rule","Quy Tắc Giá Của Giỏ Hàng"
"Shopping Cart Price Rules","Các Quy Tắc Giá Của Giỏ Hàng"
"Special Price","Special Price"
"Specific Coupon","Sử Dụng Coupon"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Tiêu Đề Cho Mỗi Cửa Hàng Riêng Biệt"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"Times Used","Thời Gian Sử Dụng"
"To Date","To Date"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Total","Total"
"Total Amount","Total Amount"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Cập Nhật Giá Theo Các Thông Tin Sau"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Use Auto Generation","Tự Động Tạo Coupon"
"Used","Đã Được Sử Dụng"
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
"total amount","total amount"
"total quantity","total quantity"
